feature,importance
COPAY__min,0.0
_1980_2000___early4_mean,0.0
_1980_2000___delta,0.0
AGE_RANGE_GROUP__1960_1980_,0.0
_1960_1980___std,0.0
DETAILS__min,0.0
_1960_1980___recent_vs_early,0.0
BRAND1_NBRX__min,0.0
BRAND1_NBRX__nonzero_share,0.0
N_CLMBRAND1_NEW_TO_BRAND__recent4_mean,0.0
N_CLMBRAND1_NEW_TO_BRAND__early4_mean,0.0
_2000_2020___first,0.0
STS_OTHER_STS__nonzero_share,0.0
STS_OTHER_STS__recent4_mean,0.0
STS_OTHER_STS__recent_vs_early,0.0
STS_OTHER_STS__std,0.0
N_CLMBRAND1_NEW_TO_BRAND__min,0.0
_2000_2020___early4_mean,0.0
UC_NRX__first,0.0
_2000_2020___delta,0.0
N_CLMBRAND1_NEW_TO_BRAND__last,0.0
BRAND1_NTB_GIDX__first,0.0
UC_NRX__min,0.0
BRAND1_NTB_GIDX__early4_mean,0.0
N_CLMBRAND1_NEW_TO_BRAND__first,0.0
_1980_2000___std,0.0
IL23_NRX__first,0.0
N_CLMBRAND1_NEW_TO_BRAND__delta,0.0
BRAND2_NRX__min,0.0
BRAND1_NRX__min,0.0
IL23_TRX__min,0.0
IL23_TRX__first,0.0
BRAND1_NRX__last,0.0
BRAND1_NRX__first,0.0
STATE_5__early4_mean,0.0
_1980_2000___recent_vs_early,0.0
BRAND1_NRX__early4_mean,0.0
BRAND1_NRX__delta,0.0
_1980_2000___recent4_mean,0.0
BRAND2_NTB_GIDX__first,0.0
IL23_NRX__min,0.0
AGE_RANGE_GROUP__1940_1960_,0.0
STATE_3__nonzero_share,0.0
STATE_5__delta,0.0
SPEC_GE__early4_mean,0.0
SPEC_GE__recent_vs_early,0.0
SPEC_GE__recent4_mean,0.0
SPEC_GE__nonzero_share,0.0
N_CLMBRAND2_NEW__last,0.0
N_CLMBRAND2_NEW__min,0.0
SPEC_GE__last,0.0
SPEC_GE__first,0.0
SPEC_GE__delta,0.0
SAMPLES__min,0.0
SPECIALTY_GROUP_PHA,0.0
SPECIALTY_GROUP_OTHER_SPEC,0.0
SPECIALTY_GROUP_NRP,0.0
SPECIALTY_GROUP_IM,0.0
SPECIALTY_GROUP_GPFM,0.0
SPECIALTY_GROUP_GE,0.0
N_CLMBRAND2__last,0.0
SPEC_GE__std,0.0
SPEC_GPFM__delta,0.0
SPEC_GPFM__early4_mean,0.0
SPEC_GPFM__first,0.0
SPEC_IM__recent4_mean,0.0
SPEC_IM__nonzero_share,0.0
SPEC_IM__max,0.0
SPEC_IM__last,0.0
SPEC_IM__first,0.0
SPEC_IM__early4_mean,0.0
SPEC_IM__delta,0.0
SPEC_GPFM__std,0.0
SPEC_GPFM__recent_vs_early,0.0
SPEC_GPFM__recent4_mean,0.0
SPEC_GPFM__nonzero_share,0.0
SPEC_GPFM__min,0.0
SPEC_GPFM__mean,0.0
SPEC_GPFM__max,0.0
SPEC_GPFM__last,0.0
N_CLMBRAND2__min,0.0
N_CLMBRAND3NEW_TO_BRAND__last,0.0
STATE_4__std,0.0
BRAND2_NBRX__min,0.0
N_CLMBRAND4__last,0.0
N_CLMBRAND4__min,0.0
ORAL_NRX__min,0.0
N_CLMOTHERS_NEW_TO_BRAND__last,0.0
BRAND2_NBRX__recent4_mean,0.0
N_CLMOTHERS_NEW_TO_BRAND__min,0.0
ORAL_NRX__first,0.0
N_CLMOTHERS_NEW__last,0.0
N_CLMBRAND3NEW_TO_BRAND__min,0.0
N_CLMOTHERS_NEW__min,0.0
BRAND2_NBRX__last,0.0
ORAL_NBRX__min,0.0
BRAND2_NBRX__first,0.0
BRAND2_NBRX__early4_mean,0.0
BRAND2_NBRX__delta,0.0
N_CLMOTHERS__last,0.0
N_CLMBRAND4_NEW__min,0.0
N_CLMBRAND4_NEW__last,0.0
N_CLMBRAND4_NEW__first,0.0
ORAL_TRX__first,0.0
N_CLMBRAND3_NEW__last,0.0
N_CLMBRAND3_NEW__min,0.0
N_CLMBRAND3__last,0.0
BRAND2_NRX__first,0.0
N_CLMBRAND3__min,0.0
RTE__min,0.0
N_CLMBRAND4_NEW_TO_BRAND__delta,0.0
N_CLMBRAND4_NEW_TO_BRAND__first,0.0
N_CLMBRAND4_NEW_TO_BRAND__last,0.0
BRAND1_TRX__early4_mean,0.0
BRAND1_TRX__first,0.0
N_CLMBRAND4_NEW_TO_BRAND__min,0.0
ORAL_TRX__min,0.0
N_CLMBRAND4_NEW_TO_BRAND__recent4_mean,0.0
BRAND1_TRX__min,0.0
SPEC_IM__recent_vs_early,0.0
SPEC_IM__std,0.0
SPEC_NRP__delta,0.0
STATE_2__delta,0.0
STATE_2__recent4_mean,0.0
STATE_2__nonzero_share,0.0
N_CLMBRAND2_NEW_TO_BRAND__first,0.0
N_CLMBRAND2_NEW_TO_BRAND__last,0.0
STATE_2__last,0.0
STATE_2__first,0.0
STATE_2__early4_mean,0.0
STATE_1__std,0.0
SPEC_NRP__early4_mean,0.0
STATE_1__recent_vs_early,0.0
STATE_1__recent4_mean,0.0
STATE_1__nonzero_share,0.0
N_CLMBRAND2_NEW_TO_BRAND__min,0.0
STATE_1__early4_mean,0.0
STATE_1__delta,0.0
N_CLMBRAND2_NEW_TO_BRAND__recent4_mean,0.0
STATE_2__recent_vs_early,0.0
STATE_2__std,0.0
STATE_3__delta,0.0
STATE_3__early4_mean,0.0
STATE_4__recent_vs_early,0.0
STATE_4__recent4_mean,0.0
STATE_4__nonzero_share,0.0
N_CLMBRAND1__last,0.0
N_CLMBRAND1__min,0.0
STATE_4__last,0.0
STATE_4__early4_mean,0.0
STATE_4__delta,0.0
STATE_3__std,0.0
STATE_3__recent_vs_early,0.0
STATE_3__recent4_mean,0.0
N_CLMOTHERS__min,0.0
N_CLMBRAND2_NEW_TO_BRAND__delta,0.0
N_CLMBRAND2_NEW_TO_BRAND__early4_mean,0.0
STATE_3__last,0.0
N_CLMBRAND2_NEW_TO_BRAND__recent_vs_early,0.0
N_CLMBRAND2_NEW__delta,0.0
SPK__min,0.0
SPEC_OTHER_SPEC__nonzero_share,0.0
SPEC_OTHER_SPEC__mean,0.0
SPEC_OTHER_SPEC__max,0.0
SPEC_OTHER_SPEC__last,0.0
SPEC_OTHER_SPEC__first,0.0
SPEC_OTHER_SPEC__early4_mean,0.0
SPEC_OTHER_SPEC__delta,0.0
SPEC_NRP__std,0.0
SPEC_NRP__recent_vs_early,0.0
SPEC_NRP__recent4_mean,0.0
SPEC_NRP__nonzero_share,0.0
SPEC_NRP__min,0.0
SPEC_NRP__mean,0.0
SPEC_NRP__max,0.0
SPEC_NRP__last,0.0
SPEC_NRP__first,0.0
SPEC_OTHER_SPEC__min,0.0
SPEC_OTHER_SPEC__recent4_mean,0.0
N_CLMBRAND2_NEW__first,0.0
SPEC_OTHER_SPEC__recent_vs_early,0.0
SPK__first,0.0
SPK__early4_mean,0.0
SPK__delta,0.0
SPEC_PHA__std,0.0
SPEC_PHA__recent_vs_early,0.0
SPEC_PHA__recent4_mean,0.0
SPEC_PHA__nonzero_share,0.0
SPEC_PHA__min,0.0
SPEC_PHA__mean,0.0
SPEC_PHA__max,0.0
SPEC_PHA__last,0.0
SPEC_PHA__first,0.0
SPEC_PHA__early4_mean,0.0
SPEC_PHA__delta,0.0
SPEC_OTHER_SPEC__std,0.0
n_rows,0.0
